board,rank,net,pred_cost
ACtoDCconverter.kicad_pcb,0,GND,45.33613586425781
ACtoDCconverter.kicad_pcb,1,/+VE,40.27713394165039
ACtoDCconverter.kicad_pcb,2,Net-(D3-A),38.48940658569336
ACtoDCconverter.kicad_pcb,3,Net-(D1-A),29.02925682067871
ACtoDCconverter.kicad_pcb,4,Net-(D5-A),13.145325660705566
Jamma_rgbuntu_xbox360.kicad_pcb,0,/P2_B_B2,139.41397094726562
Jamma_rgbuntu_xbox360.kicad_pcb,1,/P1_Y_B4,173.50473022460938
Jamma_rgbuntu_xbox360.kicad_pcb,2,/+12V,72.79859924316406
Jamma_rgbuntu_xbox360.kicad_pcb,3,/SPK+,47.752845764160156
Jamma_rgbuntu_xbox360.kicad_pcb,4,/P1_X_B3,276.117919921875
Jamma_rgbuntu_xbox360.kicad_pcb,5,/GND,422.9928894042969
Jamma_rgbuntu_xbox360.kicad_pcb,6,/P2_COIN_B7,45.34634017944336
Jamma_rgbuntu_xbox360.kicad_pcb,7,/P1_DPAD_DOWN,242.78465270996094
Jamma_rgbuntu_xbox360.kicad_pcb,8,/P1_DPAD_UP,236.5130615234375
Jamma_rgbuntu_xbox360.kicad_pcb,9,/P2_DPAD_UP,143.5028076171875
Jamma_rgbuntu_xbox360.kicad_pcb,10,/P2_X_B3,127.45503997802734
Jamma_rgbuntu_xbox360.kicad_pcb,11,/P2_START_B8,105.2950668334961
Jamma_rgbuntu_xbox360.kicad_pcb,12,/P1_L_B5,76.7677230834961
Jamma_rgbuntu_xbox360.kicad_pcb,13,/P2_Y_B4,129.29702758789062
Jamma_rgbuntu_xbox360.kicad_pcb,14,/P2_DPAD_DOWN,144.2344970703125
Jamma_rgbuntu_xbox360.kicad_pcb,15,/P2_R_B6,27.11439323425293
Jamma_rgbuntu_xbox360.kicad_pcb,16,/P1_B6,150.60067749023438
Jamma_rgbuntu_xbox360.kicad_pcb,17,unconnected-(U1-PadD3),-22.238998413085938
Jamma_rgbuntu_xbox360.kicad_pcb,18,/P1_TRB_B10,-21.925195693969727
Jamma_rgbuntu_xbox360.kicad_pcb,19,/PICO2_D-,15.871417045593262
Jamma_rgbuntu_xbox360.kicad_pcb,20,unconnected-(J9-PadJ),-23.407102584838867
Jamma_rgbuntu_xbox360.kicad_pcb,21,/P2_B5,146.9466552734375
Jamma_rgbuntu_xbox360.kicad_pcb,22,/USB_SHIELD,68.46466827392578
Jamma_rgbuntu_xbox360.kicad_pcb,23,/P1_START_B8,189.44833374023438
Jamma_rgbuntu_xbox360.kicad_pcb,24,unconnected-(U2-Pad39),-24.489471435546875
Jamma_rgbuntu_xbox360.kicad_pcb,25,/P1_A_B1,261.6990966796875
Jamma_rgbuntu_xbox360.kicad_pcb,26,/P1_B5,196.54742431640625
Jamma_rgbuntu_xbox360.kicad_pcb,27,/P1_RT,61.05905532836914
Jamma_rgbuntu_xbox360.kicad_pcb,28,/P1_R_B6,70.27864837646484
Jamma_rgbuntu_xbox360.kicad_pcb,29,unconnected-(U1-Pad35),-20.696392059326172
Jamma_rgbuntu_xbox360.kicad_pcb,30,unconnected-(U1-Pad30),-20.73274040222168
Jamma_rgbuntu_xbox360.kicad_pcb,31,unconnected-(J9-Pad11),-23.492942810058594
Jamma_rgbuntu_xbox360.kicad_pcb,32,unconnected-(J9-PadD),-23.323623657226562
Jamma_rgbuntu_xbox360.kicad_pcb,33,unconnected-(J9-PadR),-23.774757385253906
Jamma_rgbuntu_xbox360.kicad_pcb,34,/P2_A_B1,140.02879333496094
Jamma_rgbuntu_xbox360.kicad_pcb,35,unconnected-(U1-Pad29),-21.201465606689453
Jamma_rgbuntu_xbox360.kicad_pcb,36,unconnected-(J9-PadK),-23.71235466003418
Jamma_rgbuntu_xbox360.kicad_pcb,37,/PICO1_D+,17.533151626586914
Jamma_rgbuntu_xbox360.kicad_pcb,38,unconnected-(U1-Pad33),-20.700881958007812
Jamma_rgbuntu_xbox360.kicad_pcb,39,/PICO2_D+,19.943666458129883
Jamma_rgbuntu_xbox360.kicad_pcb,40,unconnected-(U1-Pad31),-20.724262237548828
Jamma_rgbuntu_xbox360.kicad_pcb,41,/P1_JAMMA_B6_GND,17.923315048217773
Jamma_rgbuntu_xbox360.kicad_pcb,42,unconnected-(J9-PadP),-23.6711368560791
Jamma_rgbuntu_xbox360.kicad_pcb,43,/P2_DPAD_RIGHT,148.2547607421875
Jamma_rgbuntu_xbox360.kicad_pcb,44,/P1_DPAD_RIGHT,255.39889526367188
Jamma_rgbuntu_xbox360.kicad_pcb,45,unconnected-(U2-PadD3),-23.12911605834961
Jamma_rgbuntu_xbox360.kicad_pcb,46,unconnected-(J9-PadN),-23.609439849853516
Jamma_rgbuntu_xbox360.kicad_pcb,47,/USB_PICO2_VCC,15.14989185333252
Jamma_rgbuntu_xbox360.kicad_pcb,48,/P1_DPAD_LEFT,249.05801391601562
Jamma_rgbuntu_xbox360.kicad_pcb,49,unconnected-(J9-PadM),-23.492942810058594
Jamma_rgbuntu_xbox360.kicad_pcb,50,/SPK-,44.54960250854492
Jamma_rgbuntu_xbox360.kicad_pcb,51,unconnected-(U1-Pad39),-23.161556243896484
Jamma_rgbuntu_xbox360.kicad_pcb,52,unconnected-(U1-PadD1),-22.362709045410156
Jamma_rgbuntu_xbox360.kicad_pcb,53,/P1_LT,70.46891784667969
Jamma_rgbuntu_xbox360.kicad_pcb,54,unconnected-(U1-PadTP5),-23.49676513671875
Jamma_rgbuntu_xbox360.kicad_pcb,55,/P1_TLB_B9,-21.92119598388672
Jamma_rgbuntu_xbox360.kicad_pcb,56,/PICO1_D-,14.728074073791504
Jamma_rgbuntu_xbox360.kicad_pcb,57,/P2_B6,129.4429931640625
Jamma_rgbuntu_xbox360.kicad_pcb,58,unconnected-(U2-PadTP4),-22.746501922607422
Jamma_rgbuntu_xbox360.kicad_pcb,59,unconnected-(U1-Pad36),-21.039648056030273
Jamma_rgbuntu_xbox360.kicad_pcb,60,/P1_B_B2,268.04815673828125
Jamma_rgbuntu_xbox360.kicad_pcb,61,unconnected-(U2-Pad1),-22.86502456665039
Jamma_rgbuntu_xbox360.kicad_pcb,62,unconnected-(U1-Pad32),-20.71361541748047
Jamma_rgbuntu_xbox360.kicad_pcb,63,unconnected-(U1-Pad37),-23.228666305541992
Jamma_rgbuntu_xbox360.kicad_pcb,64,unconnected-(U1-Pad34),-20.479602813720703
Jamma_rgbuntu_xbox360.kicad_pcb,65,/P2_HOME,17.43056869506836
Jamma_rgbuntu_xbox360.kicad_pcb,66,unconnected-(U2-Pad31),-23.795516967773438
Jamma_rgbuntu_xbox360.kicad_pcb,67,unconnected-(U2-Pad33),-23.748620986938477
Jamma_rgbuntu_xbox360.kicad_pcb,68,unconnected-(J9-Pad4),-23.323619842529297
Jamma_rgbuntu_xbox360.kicad_pcb,69,unconnected-(J9-PadS),-23.810203552246094
Jamma_rgbuntu_xbox360.kicad_pcb,70,unconnected-(U2-Pad2),-22.930816650390625
Jamma_rgbuntu_xbox360.kicad_pcb,71,/P1_HOME,33.30261993408203
Jamma_rgbuntu_xbox360.kicad_pcb,72,/P2_RT,27.581228256225586
Jamma_rgbuntu_xbox360.kicad_pcb,73,unconnected-(U2-Pad37),-23.62607765197754
Jamma_rgbuntu_xbox360.kicad_pcb,74,/USB_PICO1_VCC,15.280396461486816
Jamma_rgbuntu_xbox360.kicad_pcb,75,unconnected-(U2-Pad36),-23.341144561767578
Jamma_rgbuntu_xbox360.kicad_pcb,76,unconnected-(J9-PadE),-23.376258850097656
Jamma_rgbuntu_xbox360.kicad_pcb,77,unconnected-(U2-Pad30),-23.781414031982422
Jamma_rgbuntu_xbox360.kicad_pcb,78,/P2_LT,30.275102615356445
Jamma_rgbuntu_xbox360.kicad_pcb,79,unconnected-(J9-Pad13),-23.671133041381836
Jamma_rgbuntu_xbox360.kicad_pcb,80,unconnected-(U2-PadTP5),-22.578289031982422
Jamma_rgbuntu_xbox360.kicad_pcb,81,unconnected-(U2-PadTP6),-23.023345947265625
Jamma_rgbuntu_xbox360.kicad_pcb,82,/P2_L_B5,27.112043380737305
Jamma_rgbuntu_xbox360.kicad_pcb,83,unconnected-(U2-Pad29),-23.90070343017578
Jamma_rgbuntu_xbox360.kicad_pcb,84,unconnected-(J9-Pad3),-23.94601058959961
Jamma_rgbuntu_xbox360.kicad_pcb,85,unconnected-(J9-Pad8),-23.407102584838867
Jamma_rgbuntu_xbox360.kicad_pcb,86,unconnected-(J9-Pad9),-23.712356567382812
Jamma_rgbuntu_xbox360.kicad_pcb,87,unconnected-(U2-Pad34),-23.73647689819336
Jamma_rgbuntu_xbox360.kicad_pcb,88,/P1_COIN_B7,39.45474624633789
Jamma_rgbuntu_xbox360.kicad_pcb,89,/P2_JAMMA_B6_GND,16.65149688720703
Jamma_rgbuntu_xbox360.kicad_pcb,90,unconnected-(J9-Pad12),-23.609437942504883
Jamma_rgbuntu_xbox360.kicad_pcb,91,unconnected-(J9-PadC),-23.94601058959961
Jamma_rgbuntu_xbox360.kicad_pcb,92,unconnected-(J9-Pad15),-23.81020736694336
Jamma_rgbuntu_xbox360.kicad_pcb,93,unconnected-(J9-Pad14),-23.774761199951172
Jamma_rgbuntu_xbox360.kicad_pcb,94,unconnected-(U2-Pad32),-23.933734893798828
Jamma_rgbuntu_xbox360.kicad_pcb,95,unconnected-(U1-Pad27),-21.20763397216797
Jamma_rgbuntu_xbox360.kicad_pcb,96,unconnected-(U1-Pad2),-23.479541778564453
Jamma_rgbuntu_xbox360.kicad_pcb,97,unconnected-(U1-Pad19),-23.18749237060547
